period,sku_id,category_id,brand,lifetime_days,qty_total,orders_qty,abc,total_abc_numeric,avg_discount_perc_by_goods,max_discount_perc_by_goods,Unnamed: 11,avg_goods_price_by_goods,revenue,last_goods_sell_status,oos__by_goods,war,covid,year,sin_quarter,cos_quarter,sin_month,cos_month,sin_week,cos_week,data_status
4/8/2024,38802030325,672241,271948542,266,0,0,,,,,,"1036,5",0,available,1,1,0,2024,0,-1,"0,866","-0,5","0,9927","-0,1205",inconsistent
12/18/2023,598294111,672241,773497904,1867,0,0,,,,,,"345,3",0,available,"0,571",1,0,2023,0,1,0,1,"-0,1205","0,9927",ok
11/4/2024,35760809493,672241,773497904,748,0,0,,,,,,"477,942",0,available,1,1,0,2024,0,1,"-0,5","0,866","-0,823","0,5681",inconsistent
3/10/2025,44942965112,672241,348717123,178,0,0,,,,,,0,0,,,1,0,2025,1,0,1,0,"0,935","0,3546",inconsistent
11/18/2024,47035597915,672241,477244491,-43,0,0,,,,,,0,0,,0,1,0,2024,0,1,"-0,5","0,866","-0,6631","0,7485",inconsistent
8/12/2024,27095798175,672241,271765659,1325,0,0,,,,,,"460,5","460,5",available,1,1,0,2024,-1,0,"-0,866","-0,5","-0,6631","-0,7485",inconsistent
1/9/2023,30227761828,672241,271765659,585,3,3,,0.0,"0,111","0,111",,"350,013","1330,8",available,1,1,0,2023,1,0,"0,5","0,866","0,2393","0,9709",inconsistent
5/1/2023,44126860168,672241,313270388,-444,0,0,,,,,,0,0,,0,1,0,2023,0,-1,"0,5","-0,866","0,823","-0,5681",ok
4/8/2024,31299041897,672241,962351639,977,0,0,,,,,,"1193,4",0,available,1,1,0,2024,0,-1,"0,866","-0,5","0,9927","-0,1205",inconsistent
7/22/2024,37232337056,672241,650599404,486,1,1,BCCA,7.0,,,,627,627,available,1,1,0,2024,-1,0,"-0,5","-0,866","-0,3546","-0,935",inconsistent
1/6/2025,48468483975,672241,557284866,-45,0,0,,,,,,0,0,,0,1,0,2025,1,0,"0,5","0,866","0,1205","0,9927",unsold
5/6/2024,4723910471,672241,773497904,2114,0,0,,,,,,"410,1",0,available,1,1,0,2024,0,-1,"0,5","-0,866","0,823","-0,5681",inconsistent
11/25/2024,27095811177,672241,271765659,1430,0,0,,,,,,0,0,,0,1,0,2024,0,1,"-0,5","0,866","-0,5681","0,823",inconsistent
5/6/2024,38801498118,672241,271948542,294,0,0,,,,,,594,0,available,1,1,0,2024,0,-1,"0,5","-0,866","0,823","-0,5681",inconsistent
9/4/2023,38676704412,672241,773497904,59,0,0,,,,,,0,0,,0,1,0,2023,-1,0,-1,0,"-0,935","-0,3546",inconsistent
